relation,spearman_r,p_value,ci95_low,ci95_high
max_depth_vs_sentiment_std,-0.009622383692071662,0.9488166948909647,-0.36373212481911044,0.32270620400030003
mean_len_vs_sentiment_std,0.39350138760407033,0.006211041166952907,0.10008934853844968,0.6237925249978918
