class,count,proportion,ci95_low,ci95_high
negative,75,0.06152584085315833,0.04840032813781788,0.07547169811320754
neutral,668,0.5479901558654635,0.5217391304347826,0.5767022149302707
positive,476,0.39048400328137817,0.36177194421657094,0.41755537325676784
