,text_len_words,text_len_words,text_len_words,text_len_words,text_len_chars,text_len_chars,text_len_chars,text_len_chars,thread_depth,thread_depth,thread_depth,thread_depth,upvotes,upvotes,upvotes,upvotes,n_siblings,n_siblings,n_siblings,n_siblings,author_comment_count,author_comment_count,author_comment_count,author_comment_count,polarity_compound,polarity_compound,polarity_compound,polarity_compound,is_verified,is_verified,is_verified,is_verified,has_question_mark,has_question_mark,has_question_mark,has_question_mark,has_exclamation,has_exclamation,has_exclamation,has_exclamation
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
ensemble_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,101.02666666666667,74.0,75.87685138813139,75,616.04,467.0,456.8296281866899,75,21.76,19.0,16.483275717477355,75,0.3466666666666667,0.0,0.762168551503472,75,46.88,50.0,24.63295968215559,75,8.44,2.0,13.98574563908128,75,-0.6382226666666667,-0.6908,0.23852591369976198,75,0.48,0.0,0.5029641865709457,75,0.3333333333333333,0.0,0.4745789978762495,75,0.013333333333333334,0.0,0.11547005383792515,75
neutral,111.73053892215569,91.0,85.32271832506157,668,703.687125748503,562.5,536.9243992487841,668,26.07185628742515,22.0,21.49831941056244,668,0.35479041916167664,0.0,0.8888065129595327,668,53.8562874251497,54.0,26.377668863678608,668,14.480538922155688,4.0,23.20667674584599,668,0.18084491017964072,0.32365,0.6282378977592415,668,0.36826347305389223,0.0,0.4826948117625283,668,0.36377245508982037,0.0,0.4814447482286642,668,0.038922155688622756,0.0,0.19355439616812048,668
positive,93.21848739495799,71.5,79.50019235078916,476,599.2710084033613,459.5,513.4427043111524,476,28.861344537815125,26.0,23.072373488632227,476,0.1869747899159664,0.0,0.6127749543072658,476,54.78991596638655,55.0,26.313214274706283,476,12.565126050420169,4.0,21.53503784374307,476,0.7138850840336135,0.7751,0.22668715165269954,476,0.3550420168067227,0.0,0.4790294994974378,476,0.38235294117647056,0.0,0.48647337722554335,476,0.11974789915966387,0.0,0.325008080054697,476
