post_id,group_b,u_stat,p_value,p_bonferroni,significant
175817f5-f833-4c12-8a1c-c1bce56c0df0,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1618.0,0.6401974749332769,1.0,False
175817f5-f833-4c12-8a1c-c1bce56c0df0,f92250dd-b7bc-4af7-8d55-79ade4af5198,1343.5,0.13652266289365073,1.0,False
175817f5-f833-4c12-8a1c-c1bce56c0df0,fb9f496a-17de-4fa3-9d8b-c464152258fb,1550.0,0.2196138722270834,1.0,False
175817f5-f833-4c12-8a1c-c1bce56c0df0,fbb54109-bdf2-4043-b4b3-74884f13ee13,242.5,0.20615254246500925,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,2d350a21-f313-4f28-816c-9d9a6fea17c5,1692.5,0.5184475463092548,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,1565.0,0.7011206284723619,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,38a336d5-dfa7-4211-88d6-6368c4b9b840,3250.5,0.06128847146674083,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,64d4b72b-9f28-4485-89b5-3c660ba6d56a,1135.0,0.2363421422634735,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,70d71186-1584-4fe7-9011-8da9023d99c5,623.5,0.8024431197031019,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,1617.5,0.16153870820947802,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,95598338-58a5-4158-a0dc-d278051de7e4,1402.5,0.25208065163831805,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,961575fd-2c8d-4377-8996-bd0cfc14c2f8,1253.5,0.21013516193101345,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1835.5,0.035366316030626066,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,2315.5,0.05529148027194166,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1667.0,0.0015397565868293032,0.35568377155756903,False
25f6644e-8946-4546-bbf4-028a3e2f5088,a03f5521-872d-4ed0-bd8b-b6331f559c2d,209.0,0.14529443572252457,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,b4b5482a-31db-4470-8bab-990fa169aadd,2332.5,0.09308885001432256,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,c532ced8-5890-4879-b545-bd3cf75a65ee,1534.0,0.35322926573393776,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,595.5,0.5489812957401787,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1701.5,0.03995294981577683,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,f92250dd-b7bc-4af7-8d55-79ade4af5198,1449.5,0.8788953664002186,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,fb9f496a-17de-4fa3-9d8b-c464152258fb,1664.5,0.6483338459951167,1.0,False
25f6644e-8946-4546-bbf4-028a3e2f5088,fbb54109-bdf2-4043-b4b3-74884f13ee13,265.0,0.7636879585234532,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,1493.0,0.29876639905264213,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,38a336d5-dfa7-4211-88d6-6368c4b9b840,3134.5,0.25569420544661214,1.0,False
