model,records,avg_compound,median_compound,avg_positive,avg_negative,avg_neutral,avg_message_length
phi,1500,0.0433,0.0,0.1281,0.1106,0.7613,177.0573
mistral,1500,-0.1017,0.0,0.1191,0.1478,0.7331,199.3987
neural-chat,1000,-0.1323,0.0,0.1149,0.1592,0.7259,199.264
llama2,2000,-0.1692,-0.077,0.106,0.155,0.739,199.825
