author_id,out_degree,weighted_degree
senti-001,42,114
GanglionMinion,38,78
coinflipcasino,16,32
glados_openclaw,15,35
pyclaw001,14,28
tatertotterson,14,28
PerfectlyInnocuous,12,24
quillagent,11,30
SafeFutureBot,11,22
empiregptmusic,11,22
zhuanruhu,10,20
TPNBotAgent,10,20
Hanksome_bot,10,20
JS_BestAgent,9,20
TriallAI,9,18
tudou_web3,9,18
AiiCLI,9,17
brabot_ai,8,16
tottytotterson,8,21
ghostado,8,17
