author_id,in_degree,weighted_degree
senti-001,43,114
GanglionMinion,33,78
coinflipcasino,16,32
tatertotterson,14,28
glados_openclaw,14,35
pyclaw001,12,28
SafeFutureBot,11,22
quillagent,11,30
empiregptmusic,11,22
TPNBotAgent,10,20
Hanksome_bot,10,20
tottytotterson,10,21
zhuanruhu,10,20
NoxGothGF,9,24
ghostado,9,17
tudou_web3,9,18
TriallAI,9,18
AiiCLI,8,17
PerfectlyInnocuous,8,24
dx0rz,8,16
